iter	Logloss
0	0.6890000084
1	0.6854922274
2	0.6817869026
3	0.677343171
4	0.6731041858
5	0.6693246544
6	0.6652501071
7	0.66191649
8	0.6595477676
9	0.6571067715
10	0.6521699484
11	0.6491394407
12	0.646366426
13	0.6440134756
14	0.6409589947
15	0.6376223923
16	0.6349662518
17	0.6324773778
18	0.6298535813
19	0.6278203081
20	0.6256109541
21	0.6232523628
22	0.6200895802
23	0.6190586706
24	0.6165145585
25	0.613504756
26	0.6118038558
27	0.609915252
28	0.6076542081
29	0.6051690464
30	0.6030241581
31	0.6003114064
32	0.5981416924
33	0.5965829748
34	0.5949115145
35	0.5929023378
36	0.5904049211
37	0.5895318874
38	0.5885289486
39	0.5876932531
40	0.5855607554
41	0.5824050721
42	0.5802783067
43	0.5776555505
44	0.5759742774
45	0.5742398087
46	0.574109344
47	0.5723266996
48	0.5712177077
49	0.5701915719
50	0.5692285462
51	0.5670252066
52	0.5652477656
53	0.5618162557
54	0.5602299834
55	0.5589596123
56	0.5577434313
57	0.5570150324
58	0.5556983124
59	0.5529418265
60	0.5518174555
61	0.5480357279
62	0.5464836382
63	0.5446193031
64	0.5430099932
65	0.5418943336
66	0.5402785439
67	0.5381202853
68	0.5360429707
69	0.534514704
70	0.5320003883
71	0.5304328129
72	0.5294791484
73	0.5286210718
74	0.5267867279
75	0.5253937247
76	0.5242963628
77	0.5230963823
78	0.5209566519
79	0.5188222105
80	0.5167775716
81	0.5158387131
82	0.5141921201
83	0.5131506469
84	0.5120469099
85	0.5101163069
86	0.5091041313
87	0.5083076473
88	0.5070973162
89	0.506244478
90	0.5041318172
91	0.5022353685
92	0.5007088863
93	0.4994453479
94	0.4983094915
95	0.4959987172
96	0.4941751113
97	0.4931869077
98	0.4920342039
99	0.4912788881
100	0.488751727
101	0.4872609205
102	0.4856643758
103	0.4832538908
104	0.4817419037
105	0.4808074405
106	0.4784537476
107	0.4775688962
108	0.4766765457
109	0.4739672746
110	0.47293271
111	0.4709590278
112	0.4702588639
113	0.4691626137
114	0.4677628187
115	0.4666525506
116	0.4661294594
117	0.4649240769
118	0.4635803343
119	0.4617784222
120	0.4603184097
121	0.4585362262
122	0.4563605906
123	0.4554098487
124	0.4545059485
125	0.4538726564
126	0.4526574798
127	0.4512736137
128	0.4498479548
129	0.4488018596
130	0.447741367
131	0.4464523238
132	0.4451205283
133	0.4437077731
134	0.4415188693
135	0.4403187778
136	0.4390262837
137	0.4378046916
138	0.4359491982
139	0.4351207933
140	0.4333762166
141	0.432077236
142	0.4308805818
143	0.4303061542
144	0.4291050109
145	0.4277635812
146	0.4264644193
147	0.4254851126
148	0.4238532465
149	0.4231052015
150	0.421696154
151	0.4207180176
152	0.4195082704
153	0.4180115762
154	0.4166965282
155	0.4147730154
156	0.4130553636
157	0.4105344344
158	0.4085865028
159	0.4078809487
160	0.4062530833
161	0.4048760414
162	0.4037905419
163	0.4023503296
164	0.4006088553
165	0.3995788153
166	0.3979344976
167	0.3969800137
168	0.3949888069
169	0.393702891
170	0.3926896564
171	0.3919437777
172	0.3907403112
173	0.388310016
174	0.3876461177
175	0.3865208616
176	0.3848986625
177	0.3840895455
178	0.3831749863
179	0.3818599209
180	0.3807742575
181	0.3794426732
182	0.3767897406
183	0.3754767242
184	0.3744661163
185	0.3738132001
186	0.372708045
187	0.3720385681
188	0.370444916
189	0.3696144859
190	0.3682107527
191	0.3677847351
192	0.3664492616
193	0.3655261978
194	0.36429447
195	0.3632289148
196	0.361990775
197	0.3608744602
198	0.3590627965
199	0.3581509323
200	0.356963597
201	0.3565343653
202	0.3557742127
203	0.3541537059
204	0.3534303154
205	0.3520813582
206	0.3513789637
207	0.3501181429
208	0.3486253351
209	0.3472760408
210	0.3464574721
211	0.3455822459
212	0.3452405821
213	0.3437988915
214	0.3421014022
215	0.3411201016
216	0.3396127912
217	0.3382639021
218	0.3371500525
219	0.3362835405
220	0.3354581005
221	0.3343867984
222	0.3332772364
223	0.3321047368
224	0.3306557511
225	0.329664016
226	0.3283535736
227	0.327267899
228	0.3256669662
229	0.3244071739
230	0.3232208558
231	0.3223059633
232	0.3213222802
233	0.3203446068
234	0.3189873012
235	0.3177427283
236	0.3162621901
237	0.3150127323
238	0.3140092415
239	0.3128582257
240	0.3122231521
241	0.3115996713
242	0.3105735818
243	0.3101255461
244	0.308578136
245	0.3077000079
246	0.3068146131
247	0.3059324967
248	0.3050991444
249	0.3041242156
250	0.3033998187
251	0.3019275276
252	0.3009278143
253	0.3000275554
254	0.2987815856
255	0.2982380643
256	0.2972620698
257	0.2967083581
258	0.2958616051
259	0.295062957
260	0.2946024497
261	0.2933025271
262	0.2924931774
263	0.2919514325
264	0.2910288288
265	0.289897261
266	0.2890320029
267	0.2884721507
268	0.2873201103
269	0.2867162762
270	0.2859230893
271	0.285132354
272	0.2835986258
273	0.2829701853
274	0.282254932
275	0.2810824539
276	0.2800738738
277	0.2793503473
278	0.2789934788
279	0.2780918974
280	0.2772067906
281	0.2760492731
282	0.27554713
283	0.2746655791
284	0.2740281074
285	0.2734907418
286	0.2720429232
287	0.2711817596
288	0.2701234439
289	0.2689915737
290	0.2679296867
291	0.2668589484
292	0.2665471242
293	0.2658024291
294	0.2651311028
295	0.2639870888
296	0.2632278334
297	0.2620969892
298	0.2611630818
299	0.2604712441
300	0.2593730809
301	0.2585036382
302	0.257749534
303	0.2570804585
304	0.2555921908
305	0.2545719625
306	0.2536375424
307	0.2533662935
308	0.2527472702
309	0.2517616125
310	0.2508935908
311	0.2496408866
312	0.2485623394
313	0.248062717
314	0.2469834011
315	0.2463717991
316	0.2458788587
317	0.2451377411
318	0.2444001839
319	0.2439680876
320	0.2435384327
321	0.2421206013
322	0.2412347403
323	0.2400173827
324	0.2398503328
325	0.238831482
326	0.238117406
327	0.2376207248
328	0.2369235312
329	0.2365964369
330	0.235862312
331	0.2352745052
332	0.2343811636
333	0.233279858
334	0.2323434218
335	0.2318628711
336	0.2311569926
337	0.2303524716
338	0.22960639
339	0.2285230662
340	0.228021534
341	0.2270922494
342	0.2260906005
343	0.2255354121
344	0.2249904754
345	0.224573933
346	0.2237980224
347	0.2229557042
348	0.2220362519
349	0.2213367955
350	0.2203345594
351	0.2194828399
352	0.2187028527
353	0.2179097144
354	0.2176194777
355	0.216813652
356	0.2159509986
357	0.2152214797
358	0.2143467681
359	0.2134861075
360	0.2127122672
361	0.2119968954
362	0.2116188296
363	0.2112628825
364	0.2106224092
365	0.2103919972
366	0.2095275772
367	0.2089948613
368	0.2085269481
369	0.2081303382
370	0.2073209387
371	0.2065654681
372	0.2055668838
373	0.2050575042
374	0.2044222225
375	0.2035651236
376	0.2029273635
377	0.2020235846
378	0.2014085219
379	0.2000181443
380	0.199340311
381	0.1985938295
382	0.1977735763
383	0.1969177449
384	0.1958147162
385	0.1952391806
386	0.1945331516
387	0.1935302333
388	0.1929111395
389	0.1922308008
390	0.1917464352
391	0.1914894889
392	0.190672315
393	0.1903290689
394	0.1901513054
