iter	Passed	Remaining
0	58	28975
1	58	14663
2	59	9871
3	60	7472
4	60	6029
5	61	5066
6	62	4377
7	62	3862
8	63	3460
9	64	3146
10	64	2880
11	65	2659
12	66	2472
13	66	2311
14	67	2171
15	67	2050
16	68	1943
17	69	1851
18	69	1766
19	70	1688
20	70	1618
21	71	1555
22	72	1496
23	72	1445
24	73	1394
25	73	1348
26	74	1306
27	75	1267
28	75	1232
29	76	1198
30	77	1165
31	77	1135
32	78	1108
33	78	1081
34	79	1056
35	80	1032
36	80	1009
37	81	987
38	81	966
39	82	946
40	82	927
41	83	909
42	83	891
43	84	875
44	85	859
45	85	844
46	85	828
47	86	814
48	87	800
49	87	788
50	88	775
51	89	771
52	90	759
53	90	749
54	91	738
55	91	728
56	92	717
57	92	708
58	93	699
59	94	690
60	94	681
61	95	672
62	96	666
63	96	657
64	97	649
65	97	642
66	98	635
67	98	628
68	99	621
69	100	614
70	100	608
71	101	601
72	101	594
73	102	588
74	102	582
75	103	576
76	103	570
77	104	565
78	105	559
79	105	554
80	106	549
81	106	544
82	107	539
83	108	535
84	108	530
85	109	525
86	110	524
87	111	520
88	111	515
89	112	511
90	112	507
91	113	503
92	114	499
93	114	494
94	115	490
95	115	486
96	116	482
97	116	478
98	117	475
99	117	471
100	118	468
101	119	465
102	119	461
103	120	458
104	120	454
105	121	451
106	122	448
107	122	445
108	123	441
109	123	438
110	124	435
111	124	432
112	125	429
113	125	426
114	126	423
115	127	420
116	127	417
117	128	415
118	128	412
119	129	409
120	129	406
121	130	403
122	130	401
123	131	398
124	132	396
125	132	393
126	133	391
127	133	388
128	134	386
129	134	383
130	135	381
131	135	379
132	136	376
133	137	374
134	137	372
135	138	369
136	138	367
137	139	365
138	139	363
139	140	360
140	140	358
141	141	356
142	141	354
143	142	352
144	142	350
145	143	348
146	144	346
147	144	344
148	145	342
149	145	340
150	146	338
151	146	336
152	147	334
153	148	332
154	148	331
155	149	329
156	150	327
157	150	326
158	151	324
159	151	322
160	152	320
161	152	319
162	153	317
163	154	315
164	154	313
165	155	312
166	155	310
167	156	308
168	156	307
169	157	305
170	158	304
171	158	302
172	159	300
173	159	299
174	160	297
175	160	295
176	161	294
177	161	292
178	162	291
179	163	289
180	163	288
181	164	286
182	164	285
183	165	283
184	165	282
185	166	280
186	166	279
187	167	277
188	167	276
189	168	274
190	169	273
191	169	272
192	170	271
193	171	269
194	171	268
195	172	266
196	172	265
197	173	264
198	173	262
199	174	261
200	174	260
201	175	258
202	175	257
203	176	256
204	176	254
205	177	253
206	178	252
207	178	250
208	179	249
209	179	248
210	180	247
211	180	245
212	181	244
213	182	243
214	182	242
215	183	241
216	184	240
217	184	238
218	185	237
219	185	236
220	186	235
221	186	233
222	187	232
223	187	231
224	188	230
225	188	229
226	189	227
227	190	226
228	190	225
229	191	224
230	191	223
231	192	222
232	192	220
233	193	220
234	194	218
235	194	217
236	195	216
237	195	215
238	196	214
239	196	213
240	197	212
241	198	211
242	198	210
243	199	208
244	199	207
245	200	206
246	200	205
247	201	204
248	201	203
249	202	202
250	202	201
251	203	200
252	204	199
253	204	198
254	205	197
255	205	196
256	206	195
257	207	194
258	207	193
259	208	192
260	208	191
261	209	190
262	210	189
263	210	188
264	211	187
265	211	186
266	212	185
267	212	184
268	213	183
269	214	182
270	214	181
271	215	180
272	215	179
273	216	178
274	216	177
275	218	177
276	219	176
277	219	175
278	220	174
279	220	173
280	221	172
281	221	171
282	222	170
283	223	169
284	223	168
285	224	167
286	224	166
287	225	166
288	226	165
289	226	164
290	227	163
291	228	162
292	228	161
293	229	160
294	229	159
295	230	158
296	231	157
297	231	156
298	232	156
299	232	155
300	233	154
301	233	153
302	234	152
303	235	151
304	235	150
305	236	149
306	236	148
307	237	147
308	237	147
309	238	146
310	239	145
311	239	144
312	240	143
313	240	142
314	241	141
315	241	140
316	242	140
317	243	139
318	243	138
319	244	137
320	245	136
321	245	135
322	246	134
323	246	134
324	247	133
325	248	132
326	248	131
327	249	130
328	249	129
329	250	128
330	250	128
331	251	127
332	251	126
333	252	125
334	253	124
335	253	123
336	254	122
337	254	122
338	255	121
339	255	120
340	256	119
341	257	118
342	257	117
343	258	117
344	258	116
345	259	115
346	259	114
347	260	113
348	261	112
349	261	112
350	262	111
351	262	110
352	263	109
353	264	108
354	264	108
355	265	107
356	265	106
357	266	105
358	267	104
359	267	104
360	268	103
361	269	102
362	269	101
363	270	100
364	270	100
365	271	99
366	271	98
367	272	97
368	273	96
369	273	96
370	274	95
371	274	94
372	275	93
373	276	93
374	276	92
375	277	91
376	277	90
377	278	89
378	278	89
379	279	88
380	279	87
381	280	86
382	281	85
383	281	85
384	282	84
385	282	83
386	283	82
387	283	81
388	284	81
389	285	80
390	285	79
391	286	78
392	287	78
393	287	77
394	288	76
395	288	75
396	289	75
397	289	74
398	290	73
399	291	72
400	291	72
401	292	71
402	292	70
403	293	69
404	293	68
405	294	68
406	295	67
407	295	66
408	296	65
409	296	65
410	297	64
411	297	63
412	298	62
413	299	62
414	299	61
415	300	60
416	300	59
417	301	59
418	302	58
419	302	57
420	303	56
421	303	56
422	304	55
423	304	54
424	305	53
425	306	53
426	306	52
427	307	51
428	307	50
429	308	50
430	308	49
431	309	48
432	310	47
433	310	47
434	311	46
435	311	45
436	312	45
437	312	44
438	313	43
439	314	42
440	314	42
441	315	41
442	315	40
443	316	39
444	316	39
445	317	38
446	318	37
447	318	36
448	319	36
449	319	35
450	320	34
451	320	34
452	321	33
453	321	32
454	322	31
455	323	31
456	323	30
457	324	29
458	324	29
459	325	28
460	325	27
461	326	26
462	326	26
463	327	25
464	327	24
465	328	23
466	329	23
467	329	22
468	330	21
469	330	21
470	331	20
471	331	19
472	332	18
473	332	18
474	333	17
475	333	16
476	334	16
477	334	15
478	335	14
479	336	14
480	336	13
481	337	12
482	337	11
483	338	11
484	339	10
485	339	9
486	340	9
487	340	8
488	341	7
489	342	6
490	342	6
491	343	5
492	343	4
493	344	4
494	344	3
495	345	2
496	345	2
497	346	1
498	346	0
499	347	0
